sl_no,city,hospital_name,address,phone,email,empanelled_for,empanelment_date,payment_notes
302,Nagpur,lson Hospital (A unit of SMD Hospital Pv,"dical Square, Nagpur- 440009, ot No. 32, Behind Hitavada Press Dhantol, gpur- 440012, ditrina Institute of Medical Sciences, 8, Central Bazaar Road, mdaspeth Nagpur-440010, .0712- 6669600/ 6669601/ 6669602, mail : info@meditrinainstitute.com, at-Ayu Hospital & Research Centre Wardha, ar Hitavada Press, Dhantoli, Nagpur-4400, .0712 2463041/2447162/2420742, x No. 0712 -2456776, ail: shatyayusospital@gmail.com, diance Hospital Pvt. Ltd., 8, Central Avenue, Near Ambedkar Square",0712- 6669600/ 6669601/ 6669602; 0712 2463041/2447162/2420742,shatyayusospital@gmail.com; info@meditrinainstitute.com,"Services only t. Ltd.), i, Total facilities of hospital (OPD & Indoor) Total facilities (OPD & Indoor) Road, 012 Total facilities (OPD & Indoor)",12.05.2025,
305,Nagpur,at-Ayu Hospital & Research Centre Wardha,"ar Hitavada Press, Dhantoli, Nagpur-4400, .0712 2463041/2447162/2420742, x No. 0712 -2456776, ail: shatyayusospital@gmail.com, diance Hospital Pvt. Ltd., 8, Central Avenue, Near Ambedkar Square,, rdhaman Nagar, Nagpur - 440 008, .No. 0712 2769898; 2779898, Fax No. 2768, mail : info@radiancehospital.com, TA MANGESHKAR HOSPITAL (ATTACHED TO NKP, LVE INSTITUTE OF MEDICAL SCIENCES)",0712 2463041/2447162/2420742,info@radiancehospital.com; shatyayusospital@gmail.com,"Road, 012 Total facilities (OPD & Indoor) Single specialty (Cardiology & CTVS) (OPD & Indoor) 146",10.12.2012,
306,Nagpur,TA MANGESHKAR HOSPITAL (ATTACHED TO NKP,".No. 0712 2769898; 2779898, Fax No. 2768, mail : info@radiancehospital.com, LVE INSTITUTE OF MEDICAL SCIENCES), gdoh Hills, Hingna Road, Nagpur-440019,, : 07104-236290, 236291, 232874,, x: 07104-232905,, Mail: nkpsims1@rediffmail.com, TA MANGESHKAR HOSPITAL, YMCA Complex, Maharaj Bagh Road","07104-236290, 236291, 232874,                       (; 07104-232905,",nkpsims1@rediffmail.com; info@radiancehospital.com,CTVS) (OPD & Indoor) 146 Total facilities of hospital (OPD & Indoor),02.04.2011,
307,Nagpur,TA MANGESHKAR HOSPITAL,": 07104-236290, 236291, 232874,, x: 07104-232905,, Mail: nkpsims1@rediffmail.com, YMCA Complex, Maharaj Bagh Road, tabuldi, Nagpur-440001, : 0712-2530347,2544946, Fax: 0712-255208, SHTRASANT TUKDOJI REGIONAL CANCER, SPITAL& RESEARCH CENTRE","07104-236290, 236291, 232874,                       (; 07104-232905,; 0712-2530347,2544946,; 0712-2552087",nkpsims1@rediffmail.com,(OPD & Indoor) Total facilities of hospital (OPD & Indoor) 7 Acceptable for Cancer,04.04.2011,
308,Nagpur,SHTRASANT TUKDOJI REGIONAL CANCER,": 0712-2530347,2544946, Fax: 0712-255208, SPITAL& RESEARCH CENTRE, kdoji Square, Manewada Road,, gpur – 440003, :- 0712-2748995, 2744441, FaX:-0712-2753, mail:- rstao@sancharnet.in, RI RADHAKRISHNA HOSPITAL & RESEARCH, STITUTE","0712-2530347,2544946,; 0712-2552087; 0712-2748995, 2744441,; 0712-2753068",rstao@sancharnet.in,(OPD & Indoor) 7 Acceptable for Cancer Treatment only 068,17.07.2012,
309,Nagpur,RI RADHAKRISHNA HOSPITAL & RESEARCH,"gpur – 440003, :- 0712-2748995, 2744441, FaX:-0712-2753, mail:- rstao@sancharnet.in, STITUTE, st Wardhaman Nagar, Nagpur – 440008, :- 0712-2790572,2680582,2682544, X:-0712-2682544, mail: radhakrishnahospital56@gmail.com, RAJ EYE INSTITUTE, 9, New Colony, Nagpur- 440001","0712-2748995, 2744441,; 0712-2753068; 0712-2790572,2680582,2682544                      (; 0712-2682544",rstao@sancharnet.in; radhakrishnahospital56@gmail.com,068 Total facilities of hospital (OPD & Indoor),17.07.2012,
310,Nagpur,RAJ EYE INSTITUTE,":- 0712-2790572,2680582,2682544, X:-0712-2682544, mail: radhakrishnahospital56@gmail.com, 9, New Colony, Nagpur- 440001, :-0712-2595600,2595636, FaX:-0712-259579, mail:- nagpursuraj@gmail.com, OUDHARY HOSPITAL","0712-2790572,2680582,2682544                      (; 0712-2682544; 0712-2595600,2595636,; 0712-2595796",nagpursuraj@gmail.com; radhakrishnahospital56@gmail.com,(OPD & Indoor) 6 Acceptable for Eye Services only,17.07.2012,
311,Nagpur,OUDHARY HOSPITAL,"mail:- nagpursuraj@gmail.com, dam Puri, Umred Road, Nagpur-440009,, : 0712-2743331, 2748853,, mail: csanjeev@nagpur.dot.net.in, LUMBIA HOSPITAL& RESEARCH CENTRE, att Medicare, Dr.NB Khare Marg, Dhantoli","0712-2743331, 2748853,",nagpursuraj@gmail.com; csanjeev@nagpur.dot.net.in,"only Acceptable for Orthopedic Services only ,",17.07.2012,
312,Nagpur,LUMBIA HOSPITAL& RESEARCH CENTRE,": 0712-2743331, 2748853,, mail: csanjeev@nagpur.dot.net.in, att Medicare, Dr.NB Khare Marg, Dhantoli, gpur - 440012,, : 0712-2420005, 2420050, Fax: 0712-24202, Mail: info@columbiahospital.info, pe Hospitals, ot No.2, Behind Go Gas Teka Naka Square","0712-2743331, 2748853,; 0712-2420005, 2420050,; 0712-2420201,",info@columbiahospital.info; csanjeev@nagpur.dot.net.in,"Services only , Total facilities of hospital (OPD & Indoor) 01,",17.07.2012,
313,Nagpur,ange City Hospital & Research Institute,": 0712-2420005, 2420050, Fax: 0712-24202, Mail: info@columbiahospital.info, pe Hospitals, ot No.2, Behind Go Gas Teka Naka Square,, mptee Road, Nagpur 440017, :-0712-2980073, Fax:-0712-2432551, mail: info@hopehospital.in, , Pandey Layout,Veer Sawarkar Square","0712-2420005, 2420050,; 0712-2420201,; 0712-2980073,; 0712-2432551",info@columbiahospital.info; info@hopehospital.in,"(OPD & Indoor) 01, Total facilities of hospital Modification (OPD & Indoor) w.e.f.",17.07.2012,
314,Nagpur,ange City Hospital & Research Institute,":-0712-2980073, Fax:-0712-2432551, mail: info@hopehospital.in, , Pandey Layout,Veer Sawarkar Square,, gpur –440015, Maharashtra, : 0712-2238431 (5 Lines), Fax: 0712-2221, ail: ochri_ngp@sancharnet.in,, od Eye Hospital for Advance Eye Care Pvt, reewardha Complex","0712-2980073,; 0712-2432551; 0712-2238431 (5; 0712-2221152,",ochri_ngp@sancharnet.in; info@hopehospital.in,"(OPD & Indoor) w.e.f. Acceptable for all allopathy speciality only 152, . Ltd.",23.10.15,
315,Nagpur,od Eye Hospital for Advance Eye Care Pvt,": 0712-2238431 (5 Lines), Fax: 0712-2221, ail: ochri_ngp@sancharnet.in,, reewardha Complex,, rdha Road, Ramdaspet, Nagpur 440 012 (MH, . No. 0712 2435535; 2459888, Fax No. 244, Mail : ajsood1979@gmail.com, NAL HOSPITAL CRITICAL CARE & TRAUMA, NTRE","0712-2238431 (5; 0712-2221152,",ochri_ngp@sancharnet.in; ajsood1979@gmail.com,"speciality only 152, . Ltd. Single specialty (eye)(OPD & ); Indoor) 9789",23.12.2014,
316,Nagpur,NAL HOSPITAL CRITICAL CARE & TRAUMA,". No. 0712 2435535; 2459888, Fax No. 244, Mail : ajsood1979@gmail.com, NTRE, radi Main Road Mankapur, Nagpur-440030,, : 0712-2591770-71-72, Fax: 0712-2583727, ail: khcctc@gmail.com, antwar Eye Hospital, 0, Powergrid Square Nari Ring Road, gpur- 440026, :- 0712-6459877         Fax- 0895-688481, b:- www.anantwareyehospital.in, neja Heart &Multispeciality Hospital, unit of Arneja Institute of Cardiology, 3, Ramdas Peth, Nagpur, Maharashtra- 440, :- 0712-661800, 6661801 Fax- 0712-245053, mail:- info@arnejaheartinstitute.com, tho Relief Hospital & Research Center, ot No.19, opposite Ramakrishna Math","0712-2591770-71-72,; 0712-2583727; 0712-6459877; 0895-6884810; 0712-661800, 6661801; 0712-2450539",ajsood1979@gmail.com; info@arnejaheartinstitute.com; khcctc@gmail.com,Indoor) 9789 TOTAL FACILITIES (OPD & Indoor) Single speciality eye hospital 0 Pvt. Ltd.) Acceptable for Cardiology 010 and cardiac surgery services Modified on 9 only,09.11.2012,
319,Nagpur,tho Relief Hospital & Research Center,"unit of Arneja Institute of Cardiology, 3, Ramdas Peth, Nagpur, Maharashtra- 440, :- 0712-661800, 6661801 Fax- 0712-245053, mail:- info@arnejaheartinstitute.com, ot No.19, opposite Ramakrishna Math, brary Entrance, Dhantoli, Nagpur-440 012, No-0712-2427799,2443313,3263315,3203316, x No-07122443314, ngupta Hospital & Research Institute","0712-661800, 6661801; 0712-2450539",info@arnejaheartinstitute.com,Pvt. Ltd.) Acceptable for Cardiology 010 and cardiac surgery services Modified on 9 only Single speciality Orthopedic Hospital (OPD & Indoor),18.06.2014,
320,Nagpur,ngupta Hospital & Research Institute,"No-0712-2427799,2443313,3263315,3203316, x No-07122443314, vinagar Square, Nagpur - 440033., l. 0712-2532697/2536628, FAX: 0712-25655, escent Hospital & Heart Centre,, ot No. – 25, Behind Old Mount Carmel Sch","0712-2532697/2536628,; 0712-2565597                                             06",,"Hospital (OPD & Indoor) Total facilities of the hospital 97 (OPD & Indoor) Total facilities of the hospital ool, (OPD & Indoor) Payment to",06.06.2016,(OPD & Indoor) Payment to        06.06.2016
321,Nagpur,escent Hospital & Heart Centre,"l. 0712-2532697/2536628, FAX: 0712-25655, ot No. – 25, Behind Old Mount Carmel Sch, ar Lokmat Square, Dhantoli, Nagpur - 440, l. +91-712-2421822/ 2423813, FAX: -24206, ail: khandraziz@gmail.com,, reshyasif@gmail.com, ogyam Superspeciality Hospital","0712-2532697/2536628,; 0712-2565597                                             06; +91-712-2421822/ 2423813,; 2420698",khandraziz@gmail.com; qureshyasif@gmail.com,"97 (OPD & Indoor) Total facilities of the hospital ool, (OPD & Indoor) Payment to 012. be made in favor of Modified on 98 Advance Heart Care Centre Pvt. Ltd.",06.06.2016,(OPD & Indoor) Payment to        06.06.2016 Nagpur                                                           be made in favor of              Modified on
322,Nagpur,ogyam Superspeciality Hospital,"l. +91-712-2421822/ 2423813, FAX: -24206, ail: khandraziz@gmail.com,, reshyasif@gmail.com, , Sita nagar, Wardha Road, Nagpur, .: 0712-2294342/+91-8237168000/ 82371380, ail: arogyamnagpur@gmail.com, ista Eye Care Centre","+91-712-2421822/ 2423813,; 2420698; 0712-2294342/+91-8237168000/ 8237138000                                             06",khandraziz@gmail.com; arogyamnagpur@gmail.com; qureshyasif@gmail.com,98 Advance Heart Care Centre Pvt. Ltd. Total facilities of the hospital 00 (OPD & Indoor),22.05.2018,
323,Nagpur,ista Eye Care Centre,"ail: arogyamnagpur@gmail.com, posite Dhantoli Park, Nagpur, .: 0712-2459855/ 2467415, Fax: 2420838, ail: drsanjay@evistaeyecare.in, san Eye Care Hospital","0712-2459855/ 2467415,; 2420838                                                 06",arogyamnagpur@gmail.com; drsanjay@evistaeyecare.in,(OPD & Indoor) Single Speciality - EYE hospital (OPD & Indoor),06.08.2017,
324,Nagpur,san Eye Care Hospital,"ail: drsanjay@evistaeyecare.in, mp Yard Road, Near Congress Nagar T-Poin, gpur-440012, .: 0712-3989000/ 6948900/ +91-9823154987, ckhardt Hospitals Nagpur,, 43, North Ambazari Road Nagpur-440033, P",0712-3989000/ 6948900/ +91-9823154987,drsanjay@evistaeyecare.in,"hospital (OPD & Indoor) t, Single Speciality - EYE hospital (OPD & Indoor) h.:",06.08.2017,
325,Nagpur,H Hospital (A unit of Rathi Nursing Home,"gpur-440012, .: 0712-3989000/ 6948900/ +91-9823154987, ckhardt Hospitals Nagpur,, 43, North Ambazari Road Nagpur-440033, P, 1-712-6624444/6624100, x: -0712-2261266, ail marketing.nagpur@wockhardthospitals.",0712-3989000/ 6948900/ +91-9823154987; 0712-2261266,marketing.nagpur@wockhardthospitals.com,hospital (OPD & Indoor) h.: Total facilities of the hospital (OPD & Indoor) com,25.05.2018,
326,Nagpur,H Hospital (A unit of Rathi Nursing Home,"x: -0712-2261266, ail marketing.nagpur@wockhardthospitals., ot No.40, Balraj Marg, Dhantoli, Nagpur-, .: +91-712-2420044/+91-9075017478, ail.: rnhhospital@gmail.com, hatme Eya Bank & Eye Hospital ( Run by S, Eye welfare charitable trust Nagpur), 63-C, Chintaman Nagar, Near Rajiv Nagar,, malwada Nagpur-440025, ail: manager@mahatmehospital.com, rakshi Nethralaya",0712-2261266; +91-712-2420044/+91-9075017478                     (,rnhhospital@gmail.com; manager@mahatmehospital.com; marketing.nagpur@wockhardthospitals.com,(OPD & Indoor) com 440012 Total facilities of the hospital (OPD & Indoor) . M. Acceptable for Ophthalmology services only (OPD & Indoor) Acceptable for,25.05.2018,
328,Nagpur,hatme Eya Bank & Eye Hospital ( Run by S,"Eye welfare charitable trust Nagpur), 63-C, Chintaman Nagar, Near Rajiv Nagar,, malwada Nagpur-440025, ail: manager@mahatmehospital.com, rakshi Nethralaya,, , Rajiv Nagar Near Bharat Furniture,, rdha Road Nagpur-440025, .: +91-712-2295630-32, arvan Hospital Multispeciality & Kidney, 9, Nandanwan cement road, Near Shikshak, hakari Bank, Nagpur-440009, .: +91-712-2711737, 6603687, Fax.: 0712-, 10815,, ail prakashkhe@gmail.com, andan Heart Institute and Research Centr, t. Ltd.","+91-712-2295630-32; +91-712-2711737, 6603687,; 0712-",manager@mahatmehospital.com; prakashkhe@gmail.com,. M. Acceptable for Ophthalmology services only (OPD & Indoor) Acceptable for Ophthalmology services only (OPD & Indoor) Institute Acceptable for Nephrology services only (OPD & Indoor) e (I) Acceptable for Cardiology,23.08.2018,
330,Nagpur,andan Heart Institute and Research Centr,"hakari Bank, Nagpur-440009, .: +91-712-2711737, 6603687, Fax.: 0712-, 10815,, ail prakashkhe@gmail.com, t. Ltd., Kusum Plaza Off Chitale Marg, antoli Nagpur -440012, .: +91-712-2443003, 6453003, mail spandanheartinstitute@gmail.com, ven Star Hospital","+91-712-2711737, 6603687,; 0712-; +91-712-2443003, 6453003",spandanheartinstitute@gmail.com; prakashkhe@gmail.com,Acceptable for Nephrology services only (OPD & Indoor) e (I) Acceptable for Cardiology and cardiac surgery services only (OPD & Indoor),25.09.2018,
331,Nagpur,ven Star Hospital,"antoli Nagpur -440012, .: +91-712-2443003, 6453003, mail spandanheartinstitute@gmail.com, 4/1 , Jagnade Square, Nandanwan, K College Road, Nagpur-440009 (Maharasht, atina Heart Hospital, (A unit of Platina, t. Ltd.), anashree Commercial Complex, Near Hotel, rdeo, Sitabildi Nagpur-440012, l: 0712-2566555, Mob: 9767703032, ail: platinahearthospitalnagpur@gmail.co, G NCHRI Cancer Centre,, asra No. 50,51 MOUJA-WANJRI","+91-712-2443003, 6453003; 0712-2566555,",platinahearthospitalnagpur@gmail.com; spandanheartinstitute@gmail.com,services only (OPD & Indoor) Accepted for Total facilities ra) (OPD & Indoor) Hospital Accepted for Cardiology and Cardiothoracic Surgery m Services. Accepted for Oncology,23.09.2019,
333,Nagpur,G NCHRI Cancer Centre,"anashree Commercial Complex, Near Hotel, rdeo, Sitabildi Nagpur-440012, l: 0712-2566555, Mob: 9767703032, ail: platinahearthospitalnagpur@gmail.co, asra No. 50,51 MOUJA-WANJRI, NDE NAWAZ NAGAR, NEAR AUTOMOTIVE, UARE,, LAMNA RING ROAD, NAGPUR 440026, M. Vishwakarma Memorial Eye Hospital, . Ambedkar Road, Kamal Chowk, Nagpur-17","0712-2566555,",platinahearthospitalnagpur@gmail.com,"and Cardiothoracic Surgery m Services. Accepted for Oncology Services Only, (OPD & 10/06/2020 Indoor) For Ophthalmology Services, Payments to be made in",23.09.2019,"Dr. Ambedkar Road, Kamal Chowk, Nagpur-17             Payments to be made in"
334,Nagpur,"LAMNA RING ROAD, NAGPUR 440026","M. Vishwakarma Memorial Eye Hospital, . Ambedkar Road, Kamal Chowk, Nagpur-17, tional Cancer Institute, asara No. 25, Outer Hingna Ring Road",,,"For Ophthalmology Services, Payments to be made in favour of S. M. Vishwakarma Memorial Eye Hospital For Oncology Services (OPD &",10.09.2021,"Dr. Ambedkar Road, Kamal Chowk, Nagpur-17             Payments to be made in"
335,Nagpur,ANV Medisearch Lifesciences Pvt Ltd,"tional Cancer Institute, asara No. 25, Outer Hingna Ring Road,, uza Jamtha, Nagpur-441108 (Maharashtra),, MS Kingsway Hospitals",,,"For Oncology Services (OPD & Indoor) National Cancer Institute Total facilities of hospital , (OPD & Indoor) Payments to",10.09.2021,SPANV Medisearch Lifesciences Pvt Ltd                 (OPD & Indoor) Payments to
336,Nagpur,ANV Medisearch Lifesciences Pvt Ltd,"MS Kingsway Hospitals, , Kingsway, Near Kasturchand Park,, gpur-440001, Maharashtra, E Eye Hospital",,,"Institute Total facilities of hospital , (OPD & Indoor) Payments to Name be made ijn favor of modified on SPANV Medisearch Lifesciences Private Limited Acceptable For",10.09.2021,SPANV Medisearch Lifesciences Pvt Ltd                 (OPD & Indoor) Payments to
337,Nagpur,E Eye Hospital,"gpur-440001, Maharashtra, Bajaj Nagar Near CIIMS Hospital,, gpur (440010),, harashtra India, dharba institute of Medical Sciences,, mptee Road, LIC Square",,,modified on SPANV Medisearch Lifesciences Private Limited Acceptable For Ophthalmology Services Payments in Favor of OKE EYE HOSPITAL,24.08.2023,Payments in Favor of
338,Nagpur,dharba institute of Medical Sciences,"harashtra India, mptee Road, LIC Square, han Nagar,, gpur-440001, tus Hospital & Research Centre",,,Payments in Favor of OKE EYE HOSPITAL Total facilities of hospital (OPD & Indoor) Acceptable for General and,15.06.2022,Payments in Favor of
339,Nagpur,tus Hospital & Research Centre,"gpur-440001, 5, Omnagar, Sakkardara Police Station,, ar Tiranga Square, Nagpur-440009, w Era Hospital & Research Institute, ntral Avenue Road",,,(OPD & Indoor) Acceptable for General and Laparoscopic Surgery Only,24.11.2022,
340,Nagpur,w Era Hospital & Research Institute,"ntral Avenue Road,, ar Telephone Exchange Chowk,, eta Nagar, Near Jalaram Mandir,, gpur -440008, retech Hospital and Research Centre,, 0/2K Ashokvan, Jamtha, Wardha Road",,,Laparoscopic Surgery Only Total facilities of hospital (OPD & Indoor),24.11.2022,
341,Nagpur,retech Hospital and Research Centre,"eta Nagar, Near Jalaram Mandir,, gpur -440008, 0/2K Ashokvan, Jamtha, Wardha Road,, gpur, Maharashtra., N- 441108, dhav Netralaya Eye Institute & Research, maj Bhushan Griha Nirman Sahakari Sansth, ni, Wardha Road, Nagpur, Maharashtra, N- 440015, American Oncology Institute,, At Nangia Speciality Hospital",,,"(OPD & Indoor) Total facilities of hospital (OPD & Indoor) Centre, a, Acceptable for Ophthalmology Services Only (OPD & Indoor)",19.04.2023,
343,Nagpur,dhav Netralaya Eye Institute & Research,"maj Bhushan Griha Nirman Sahakari Sansth, ni, Wardha Road, Nagpur, Maharashtra, N- 440015, American Oncology Institute,, At Nangia Speciality Hospital,, C-1/1, MIDC Hingna, Nagpur,, Maharashtra-440028, Avanti Institute of Cardiology Pvt. Ltd",,,"Centre, a, Acceptable for Ophthalmology Services Only (OPD & Indoor) Total facilities of hospital Modified on (OPD & Indoor) .",19.04.2023,
344,Nagpur,Avanti Institute of Cardiology Pvt. Ltd,"Maharashtra-440028, 5, Abhayankar Road, Dhantoli, Nagpur-12, Shree Sai Eye Hospital., Anand Place 7 & 8,, Beside State Bank of India, Sakkardara, Umred Road, Sakkardara,, Nagpur, Maharashtra., PIN-440009, Multispecialty Dental Clinic., Residency Road, Docters Enclave,, Block No.15, NMC Complex,, Residency Road Sadar,, Nagpur, Maharashtra., PIN- 440001, Suraj Eye Institute",,,"(OPD & Indoor) . For Cardiology Services Only Branch, Acceptable for Ophthalmology Services Only (OPD & Indoor) Acceptable for Dentistry periodontology and prosthodontics",08.08.2024,
